,VIF
meals,19.17927816605791
yr_rnd,1.9718985685523938
mobility,6.018115265059746
acs_k3,144.59571192652126
acs_46,67.33123299774495
not_hsg,5.93497563832285
some_col,4.51501107801647
avg_ed,39.81294703957887
full,71.40320694218289
emer,4.5666009963238965
enroll,8.757409140885173
ell_pct,4.424983035642315
dnum_98,1.1607145197513862
dnum_108,2.283066101078868
dnum_131,1.8386541103050593
dnum_135,2.413588211568243
dnum_140,1.713397864810505
dnum_166,1.2871001517833844
dnum_209,1.7302261582165386
dnum_238,1.055447247888404
dnum_248,1.27199492521199
dnum_253,2.1943814829235024
dnum_259,2.3913758799868154
dnum_284,1.3408883665409834
dnum_294,1.2759784497557838
dnum_316,1.8245728677085902
dnum_395,2.690449951436981
dnum_401,27.713140928687086
dnum_473,1.985522763697805
dnum_491,1.2677427965969015
dnum_507,2.3047274947826155
dnum_541,1.1397111329366167
dnum_570,1.2823952703987604
dnum_575,1.6983836281739182
dnum_600,1.5666572832002954
dnum_605,2.107257163326728
dnum_620,2.70309358824714
dnum_621,1.7503657829850432
dnum_627,2.049208842944582
dnum_630,4.599633757550106
dnum_632,2.69822505799978
dnum_635,1.8315065025985457
dnum_636,3.759228337944563
dnum_653,1.8476578207960235
dnum_689,1.5724940764297783
dnum_716,2.128066274289516
dnum_779,1.4120739182973185
dnum_796,1.6129107182067852
missing_meals,1.9854757705570714
